35.592	-6.102	0.310	4.078
35.711	-6.111	0.309	4.071
35.816	-6.118	0.309	4.066
35.938	-6.128	0.309	4.058
36.047	-6.138	0.308	4.051
36.154	-6.148	0.308	4.043
36.254	-6.159	0.308	4.035
36.361	-6.171	0.307	4.026
36.466	-6.184	0.307	4.017
36.575	-6.198	0.306	4.007
36.678	-6.211	0.306	3.996
36.790	-6.227	0.305	3.985
36.901	-6.244	0.305	3.973
37.005	-6.260	0.304	3.961
37.115	-6.274	0.304	3.950
37.229	-6.293	0.303	3.936
37.332	-6.309	0.302	3.925
37.434	-6.325	0.302	3.913
37.538	-6.343	0.301	3.900
37.642	-6.360	0.301	3.887
37.754	-6.380	0.300	3.873
37.859	-6.398	0.299	3.860
37.960	-6.417	0.299	3.846
38.065	-6.433	0.298	3.834
38.177	-6.449	0.297	3.823
38.280	-6.463	0.297	3.812
38.401	-6.480	0.296	3.800
38.506	-6.494	0.296	3.790
38.611	-6.508	0.295	3.780
38.713	-6.521	0.295	3.771
38.820	-6.534	0.295	3.762
38.923	-6.546	0.294	3.753
39.028	-6.557	0.294	3.745
39.131	-6.565	0.294	3.739
39.241	-6.572	0.293	3.734
39.359	-6.578	0.293	3.730
39.462	-6.583	0.293	3.726
39.569	-6.586	0.293	3.724
39.672	-6.588	0.293	3.722
39.773	-6.590	0.293	3.722
39.875	-6.590	0.293	3.722
39.978	-6.589	0.293	3.722
40.082	-6.586	0.293	3.724
40.185	-6.582	0.293	3.727
40.291	-6.577	0.293	3.731
40.392	-6.570	0.293	3.736
40.507	-6.561	0.294	3.742
40.610	-6.552	0.294	3.748
40.728	-6.540	0.294	3.757
40.830	-6.528	0.295	3.765
40.934	-6.516	0.295	3.775
41.048	-6.502	0.296	3.785
41.151	-6.490	0.296	3.793
41.252	-6.476	0.297	3.803
41.353	-6.463	0.297	3.812
41.461	-6.447	0.298	3.824
41.563	-6.433	0.298	3.834
41.670	-6.416	0.299	3.846
41.775	-6.400	0.299	3.858
41.880	-6.383	0.300	3.871
41.993	-6.364	0.300	3.885
42.111	-6.347	0.301	3.897
42.216	-6.332	0.302	3.908
42.324	-6.317	0.302	3.919
42.436	-6.302	0.303	3.930
42.539	-6.287	0.303	3.941
42.647	-6.272	0.304	3.951
42.747	-6.258	0.304	3.962
42.851	-6.244	0.305	3.972
42.957	-6.230	0.305	3.983
43.066	-6.217	0.306	3.992
43.167	-6.206	0.306	4.001
43.278	-6.194	0.306	4.009
43.382	-6.184	0.307	4.017
43.502	-6.172	0.307	4.025
43.604	-6.163	0.307	4.032
43.717	-6.154	0.308	4.039
43.817	-6.146	0.308	4.045
43.941	-6.137	0.308	4.052
44.060	-6.128	0.309	4.058
44.165	-6.121	0.309	4.063
44.267	-6.115	0.309	4.068
44.367	-6.110	0.309	4.072
44.484	-6.104	0.310	4.076
44.588	-6.100	0.310	4.079
44.700	-6.095	0.310	4.083
44.801	-6.092	0.310	4.085
44.911	-6.089	0.310	4.088
45.028	-6.085	0.310	4.090
45.132	-6.082	0.310	4.093
45.234	-6.079	0.310	4.095
45.350	-6.076	0.310	4.097
45.450	-6.074	0.311	4.099
45.556	-6.072	0.311	4.100
45.667	-6.070	0.311	4.102
45.786	-6.068	0.311	4.103
45.886	-6.067	0.311	4.104
45.989	-6.066	0.311	4.105
46.101	-6.065	0.311	4.106
46.202	-6.063	0.311	4.107
46.304	-6.062	0.311	4.108
46.410	-6.061	0.311	4.108
46.521	-6.060	0.311	4.109
46.631	-6.059	0.311	4.110
46.748	-6.059	0.311	4.110
46.853	-6.058	0.311	4.111
46.961	-6.058	0.311	4.111
47.066	-6.057	0.311	4.111
47.169	-6.057	0.311	4.112
47.281	-6.056	0.311	4.112
47.386	-6.056	0.311	4.113
47.506	-6.055	0.311	4.113
47.623	-6.055	0.311	4.113
47.725	-6.055	0.311	4.113
47.838	-6.054	0.311	4.113
47.940	-6.054	0.311	4.114
48.040	-6.054	0.311	4.114
48.159	-6.054	0.311	4.114
48.268	-6.054	0.311	4.114
48.372	-6.053	0.311	4.114
48.474	-6.053	0.311	4.114
48.591	-6.053	0.311	4.114
48.694	-6.053	0.311	4.114
48.811	-6.053	0.311	4.115
48.913	-6.053	0.311	4.115
49.021	-6.053	0.311	4.115
49.139	-6.053	0.311	4.115
49.245	-6.053	0.311	4.115
49.356	-6.053	0.311	4.115
49.464	-6.053	0.311	4.115
49.565	-6.052	0.311	4.115
49.679	-6.052	0.311	4.115
49.781	-6.052	0.311	4.115
49.886	-6.052	0.311	4.115
50.000	-6.052	0.311	4.115
50.101	-6.053	0.311	4.114
50.216	-6.055	0.311	4.113
50.319	-6.056	0.311	4.112
50.427	-6.058	0.311	4.111
50.531	-6.059	0.311	4.110
50.646	-6.061	0.311	4.108
50.752	-6.064	0.311	4.107
50.869	-6.066	0.311	4.105
50.970	-6.069	0.311	4.103
51.079	-6.073	0.311	4.100
51.182	-6.078	0.310	4.096
51.294	-6.083	0.310	4.092
51.396	-6.089	0.310	4.088
51.512	-6.096	0.310	4.082
51.634	-6.104	0.310	4.076
51.737	-6.111	0.309	4.071
51.854	-6.120	0.309	4.064
51.961	-6.128	0.309	4.058
52.071	-6.138	0.308	4.051
52.175	-6.147	0.308	4.044
52.283	-6.158	0.308	4.036
52.404	-6.170	0.307	4.027
52.518	-6.182	0.307	4.018
52.625	-6.194	0.306	4.009
52.726	-6.206	0.306	4.000
52.830	-6.219	0.305	3.991
52.950	-6.234	0.305	3.980
53.068	-6.247	0.304	3.970
53.170	-6.258	0.304	3.962
53.278	-6.269	0.304	3.954
53.391	-6.281	0.303	3.945
53.491	-6.291	0.303	3.938
53.598	-6.301	0.303	3.930
53.701	-6.312	0.302	3.923
53.803	-6.322	0.302	3.915
53.922	-6.333	0.301	3.907
54.024	-6.342	0.301	3.900
54.134	-6.348	0.301	3.896
54.246	-6.353	0.301	3.892
54.364	-6.357	0.301	3.889
54.467	-6.360	0.301	3.887
